transaction_amount,transaction_time,location_distance,cardholder_age,merchant_risk_score,device_trust_score,is_international,is_fraud
2952.43,18.42,1998.54,30.0,35.94,4.2,1,0
479.77,9.04,611.34,58.0,82.85,61.77,0,0
3082.75,9.13,2739.65,49.0,26.4,71.07,1,1
860.6,10.35,2259.47,66.0,49.22,97.19,1,1
2826.93,19.56,1973.27,51.0,56.02,14.58,1,1
2864.29,7.7,1952.83,46.0,74.25,24.62,0,1
2332.6,18.19,2713.07,33.0,47.16,93.24,1,0
2615.55,22.55,2784.92,63.0,68.03,63.06,0,1
3820.8,15.86,1786.91,29.0,48.53,3.8,0,0
3997.23,10.36,1250.01,32.0,65.93,7.73,1,1
2463.31,17.95,1091.2,66.0,67.41,78.54,0,0
2999.97,10.99,2457.24,60.0,70.94,56.75,0,0
4656.52,9.95,1933.82,53.0,82.33,56.54,0,1
603.07,12.61,231.8,20.0,54.07,87.99,0,0
589.93,7.63,426.56,25.0,19.33,24.11,0,1
443.11,2.5,2700.56,46.0,67.96,16.04,1,0
3291.03,9.96,2653.49,61.0,7.71,61.38,1,1
2095.95,2.97,2855.5,44.0,21.9,88.24,1,0
3872.74,9.85,1283.55,19.0,79.22,26.53,1,0
3357.8,13.37,2352.18,29.0,43.51,68.13,1,0
1671.52,22.34,2484.68,52.0,49.8,15.24,0,0
4492.34,0.87,947.09,58.0,98.74,17.19,1,0
3813.85,14.92,436.01,20.0,23.52,90.15,1,0
1356.32,10.99,2991.08,20.0,1.96,11.8,0,0
1824.14,0.49,90.66,33.0,11.14,2.43,0,0
1575.63,5.99,1792.01,23.0,24.45,77.49,0,0
792.27,2.84,1950.64,49.0,72.59,36.25,1,1
743.18,5.2,2045.37,25.0,77.58,39.67,1,0
4680.96,6.59,766.88,55.0,56.55,79.99,1,0
2192.33,9.63,2164.74,62.0,25.5,17.99,0,0
1919.68,12.7,649.2,73.0,52.17,65.03,1,1
3649.78,0.02,2487.11,72.0,1.5,31.35,0,1
2767.2,3.88,657.35,34.0,68.18,10.43,0,1
4681.02,2.25,2090.12,20.0,61.43,68.75,0,1
3902.61,13.19,2350.24,37.0,2.18,31.87,0,1
2399.45,7.9,566.84,58.0,81.7,86.66,0,0
1884.92,13.16,713.96,21.0,76.34,91.9,1,0
4933.22,5.32,2337.31,39.0,30.82,84.91,0,0
3590.21,0.58,258.0,35.0,63.54,32.24,1,0
4756.22,22.59,572.28,31.0,60.15,23.66,0,0
596.8,2.6,1366.59,58.0,14.32,89.28,1,1
4253.42,3.04,2790.55,56.0,19.33,45.29,1,1
3187.18,3.52,1685.63,49.0,68.32,70.77,1,1
614.0,23.55,1163.03,70.0,93.36,82.72,1,1
2943.35,14.82,2935.11,24.0,57.63,27.77,1,1
3432.05,14.65,1391.13,27.0,56.78,11.91,1,0
66.45,23.68,1301.2,40.0,64.67,62.48,0,0
2274.32,2.12,1234.93,55.0,44.06,59.02,0,0
4127.87,23.39,936.54,51.0,5.42,27.02,0,0
1480.32,4.9,977.08,22.0,39.65,58.47,0,0
2295.45,14.95,2063.51,73.0,90.03,79.04,0,0
2214.36,10.08,122.51,35.0,80.49,35.0,1,0
1513.13,9.21,2045.45,38.0,92.74,24.23,0,1
4592.62,22.35,603.61,54.0,15.28,72.5,0,0
3907.56,3.58,1152.62,72.0,50.6,78.59,1,0
557.39,23.93,439.62,56.0,58.47,95.43,0,0
4985.19,9.1,1658.25,72.0,20.99,14.76,1,1
4396.6,15.57,2188.05,29.0,20.1,88.93,1,0
1423.12,23.23,1063.97,53.0,78.2,76.51,1,0
4185.3,1.38,490.25,65.0,67.19,70.19,1,1
536.57,22.15,679.52,47.0,64.72,31.31,0,0
4995.53,13.63,2454.34,39.0,26.7,2.22,0,0
3330.1,16.91,802.95,74.0,50.68,50.76,1,1
3252.37,3.58,2324.11,26.0,2.31,28.58,1,0
456.75,12.8,993.6,41.0,12.99,28.98,0,0
4485.68,16.16,566.2,68.0,51.83,92.71,1,0
149.85,10.95,2181.93,69.0,30.97,15.3,0,0
1207.94,3.72,1405.64,74.0,96.57,93.42,1,1
719.39,5.86,93.83,68.0,47.15,50.38,1,0
3884.96,20.51,2879.83,21.0,8.36,83.83,0,0
995.03,0.83,443.26,71.0,1.78,28.36,1,0
4553.64,17.01,1060.22,42.0,72.53,63.39,1,0
3283.06,23.99,1154.38,55.0,17.15,55.66,0,0
185.63,0.18,1468.29,40.0,18.78,92.42,1,0
32.12,3.87,2356.33,64.0,42.38,17.93,0,1
263.03,16.18,18.27,51.0,26.41,20.46,0,0
3031.6,1.44,2797.42,66.0,61.66,94.9,1,0
4008.4,14.15,1937.97,29.0,48.57,9.8,1,0
1196.57,16.42,2851.95,29.0,11.15,63.47,0,0
4247.8,14.12,2452.17,43.0,78.47,6.06,1,1
290.87,8.76,2783.51,18.0,42.59,7.7,0,0
4005.81,16.73,1803.0,57.0,61.08,59.71,0,0
4639.34,14.26,1071.93,35.0,0.39,55.14,0,0
3861.68,4.98,1328.74,50.0,62.64,57.3,0,0
3492.11,13.52,1974.1,22.0,28.28,47.37,1,1
4190.71,21.17,1280.8,28.0,49.44,74.24,0,0
205.56,16.0,2195.02,54.0,29.77,99.22,0,0
1012.9,11.32,275.54,35.0,99.63,27.58,1,0
628.99,7.72,2489.96,30.0,23.08,32.34,1,0
2525.13,2.06,612.57,31.0,91.29,32.3,0,1
3727.21,5.87,2831.84,30.0,91.8,76.33,1,0
3151.91,0.27,466.64,54.0,42.1,34.8,1,0
4256.4,23.68,387.49,28.0,30.4,67.67,1,1
780.29,5.34,2435.63,39.0,38.1,44.59,0,0
3674.43,19.56,2456.11,57.0,98.93,60.78,0,0
969.24,4.05,2216.28,47.0,61.88,82.9,1,1
1357.44,6.81,2881.59,52.0,54.48,51.41,1,0
3550.97,10.04,811.62,32.0,3.59,47.52,1,0
4901.12,7.79,2479.95,71.0,84.78,26.7,1,1
3059.66,19.16,1056.12,42.0,8.38,51.59,1,1
277.23,22.98,1612.2,34.0,4.7,26.24,0,0
3083.46,21.01,1336.8,70.0,27.49,84.36,1,0
216.54,3.69,17.55,55.0,47.58,38.89,0,0
4421.31,18.64,1723.39,53.0,89.53,12.91,0,1
3549.34,3.55,2242.52,69.0,79.01,24.0,1,1
869.77,21.92,523.66,21.0,19.76,53.46,0,0
463.15,12.43,2794.97,66.0,37.21,91.63,1,0
921.75,8.07,1591.2,57.0,78.02,30.06,1,0
4900.24,3.77,534.74,39.0,52.71,26.44,1,1
2295.51,0.28,1937.84,33.0,17.45,40.66,0,0
3921.48,5.95,575.77,24.0,39.61,96.78,0,0
3183.86,21.94,190.6,72.0,62.59,84.52,1,0
2864.2,19.13,2055.95,26.0,97.32,14.97,0,1
729.93,23.28,332.08,33.0,66.18,61.38,1,0
4730.39,2.42,318.65,57.0,1.62,79.19,1,0
1510.21,14.21,2219.83,58.0,70.5,76.8,1,0
2892.2,6.17,165.61,27.0,25.09,48.88,0,1
3500.38,13.03,2429.31,64.0,86.22,73.18,0,1
3247.92,7.69,2388.45,47.0,38.39,58.36,0,0
4703.27,6.8,424.18,66.0,19.96,20.14,1,1
746.45,13.77,1555.14,23.0,46.79,5.61,1,0
2544.22,4.4,289.88,20.0,25.52,36.95,0,0
2023.15,11.26,1897.71,54.0,23.58,6.19,0,1
2373.47,15.62,188.79,27.0,57.33,39.5,1,0
